Profile Summary
Generated on: 2021-04-28 16:48:00
Msec since Epoch: 1619628480794
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clEnqueueMapBuffer,334,124.861,0.0673,0.373834,4.17442,
clCreateProgramWithBinary,1,85.0282,85.0282,85.0282,85.0282,
clEnqueueTask,166,79.7356,0.31264,0.480335,2.73198,
clEnqueueMigrateMemObjects,332,68.1273,0.09358,0.205203,1.7191,
clReleaseMemObject,1332,55.6684,0.0208,0.0417931,1.71637,
clRetainMemObject,1328,34.0127,0.02071,0.025612,0.74605,
clReleaseEvent,996,32.0253,0.02028,0.0321539,1.82032,
clSetKernelArg,664,19.9366,0.0209,0.030025,1.0166,
clRetainEvent,498,16.2216,0.02044,0.0325736,1.05724,
clCreateContext,1,14.2212,14.2212,14.2212,14.2212,
clReleaseProgram,1,10.0914,10.0914,10.0914,10.0914,
clCreateKernel,1,3.82116,3.82116,3.82116,3.82116,
clCreateBuffer,4,1.81231,0.05715,0.453077,1.47718,
clGetDeviceIDs,2,0.83743,0.02249,0.418715,0.81494,
clReleaseContext,1,0.39137,0.39137,0.39137,0.39137,
clReleaseKernel,1,0.30496,0.30496,0.30496,0.30496,
clGetPlatformIDs,2,0.22398,0.02628,0.11199,0.1977,
clCreateCommandQueue,1,0.05623,0.05623,0.05623,0.05623,
clReleaseDevice,2,0.05052,0.02281,0.02526,0.02771,
clGetPlatformInfo,2,0.04933,0.02211,0.024665,0.02722,
clRetainDevice,2,0.04391,0.02076,0.021955,0.02315,
clReleaseCommandQueue,1,0.03774,0.03774,0.03774,0.03774,
clFinish,1,0.03676,0.03676,0.03676,0.03676,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
hardware_encoding,166,141.833,0.35245,0.854414,4.22004,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,498,104.542182,1.088981,5.464,26.028460,0.052266,
context0:1,WRITE,166,71.837605,0.748308,8.196,18.939050,0.114091,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187650889810048,hardware_encoding,0,0,edge-0,4166.51,4.22004,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,3617.27,2.5963,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,3611.77,2.47976,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,3813.19,2.11859,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,4044.31,1.94643,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,4049.56,1.93784,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,3798.63,1.86052,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,4120.79,1.80002,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,3605.33,1.48065,1:1:1,1:1:1,
187650889810048,hardware_encoding,0,0,edge-0,3558.12,1.4737,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1606819840,0,0,3538.1,1.221210,8.196,6.711376,
1606819840,0,0,3637.55,0.381540,8.196,21.481365,
1606819840,0,0,3944.22,0.333210,8.196,24.597101,
1606819840,0,0,3954.05,0.331800,8.196,24.701627,
1606819840,0,0,4181.36,0.330070,8.196,24.831096,
1606819840,0,0,3883.2,0.323410,8.196,25.342445,
1606819840,0,0,3858.09,0.316360,8.196,25.907194,
1606819840,0,0,4056.66,0.264010,8.196,31.044279,
1606819840,0,0,3804.14,0.250090,8.196,32.772202,
1606819840,0,0,4053.54,0.212960,8.196,38.486101,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1606828032,0,0,4010.07,1.054720,8.196,7.770783,
1606828032,0,0,3623.93,0.500200,8.196,16.385446,
1606828032,0,0,3656.11,0.343630,8.196,23.851235,
1606828032,0,0,4035.4,0.336750,8.196,24.338530,
1606828032,0,0,4147.43,0.276800,8.192,29.595376,
1606828032,0,0,4163.97,0.254570,8.196,32.195467,
1606828032,0,0,3848.79,0.163120,8.196,50.245218,
1606828032,0,0,3816.14,0.143060,8.196,57.290647,
1542754304,0,0,3703.94,0.139230,0.004,0.028729,
1606828032,0,0,3801.12,0.122610,8.196,66.846097,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,649.486140,
CU_CALLS,edge-0|hardware_encoding_1,166,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,332,
MEMORY_USAGE,edge-0|HP0,0,
MEMORY_USAGE,edge-0|HP1,1,
MEMORY_USAGE,edge-0|HP2,1,
MEMORY_USAGE,edge-0|HP3,1,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,hardware_encoding_1/m_axi_hp0,32,
PORT_BIT_WIDTH,hardware_encoding_1/m_axi_hp1,32,
PORT_BIT_WIDTH,hardware_encoding_1/m_axi_hp3,16,
KERNEL_COUNT,hardware_encoding,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,hardware_encoding,1,
COMMAND_QUEUE_OOO,187650889862192,0,
KERNEL_BUFFER_INFO,hardware_encoding|s1|HP1|1,8192,
KERNEL_BUFFER_INFO,hardware_encoding|output_r|HP1|1,8192,
KERNEL_BUFFER_INFO,hardware_encoding|lzw_size|HP1|1,4,
KERNEL_BUFFER_INFO,hardware_encoding|input_size|HP1|1,4,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,26.0285,
BUFFER_WR_ACTIVE_TIME_MS,all,20.309,
BUFFER_TX_ACTIVE_TIME_MS,all,651.964,
APPLICATION_RUN_TIME_MS,all,4211.41,
TOTAL_KERNEL_RUN_TIME_MS,all,649.486,


