Timeline Trace
Generated on: 2021-04-28 05:36:58
Msec since Epoch: 1619588218893
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
33.3832,clGetPlatformIDs|General,START,,,,,,,,,,,0,
33.50924,clGetPlatformIDs|General,END,,,,,,,,,,,0,
33.57313,clGetPlatformIDs|General,START,,,,,,,,,,,1,
33.59895,clGetPlatformIDs|General,END,,,,,,,,,,,1,
33.6304,clGetPlatformInfo|General,START,,,,,,,,,,,2,
33.65655,clGetPlatformInfo|General,END,,,,,,,,,,,2,
33.6778,clGetPlatformInfo|General,START,,,,,,,,,,,3,
33.69971,clGetPlatformInfo|General,END,,,,,,,,,,,3,
33.82437,clGetDeviceIDs|General,START,,,,,,,,,,,4,
33.85802,clGetDeviceIDs|General,END,,,,,,,,,,,4,
33.87942,clGetDeviceIDs|General,START,,,,,,,,,,,5,
33.90026,clGetDeviceIDs|General,END,,,,,,,,,,,5,
33.92592,clRetainDevice|General,START,,,,,,,,,,,6,
33.94933,clRetainDevice|General,END,,,,,,,,,,,6,
33.9702,clRetainDevice|General,START,,,,,,,,,,,7,
33.9911,clRetainDevice|General,END,,,,,,,,,,,7,
34.01633,clCreateContext|General,START,,,,,,,,,,,8,
46.54367,clCreateContext|General,END,,,,,,,,,,,8,
65.30898,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
147.13766,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
147.25406,clCreateCommandQueue|General,START,,,,,,,,,,,10,
147.30811,clCreateCommandQueue|General,END,,,,,,,,,,,10,
147.33645,clCreateKernel|General,START,,,,,,,,,,,11,
151.16832,clCreateKernel|General,END,,,,,,,,,,,11,
151.2083,clCreateBuffer|General,START,,,,,,,,,,,12,
152.56168,clCreateBuffer|General,END,,,,,,,,,,,12,
152.59044,clCreateBuffer|General,START,,,,,,,,,,,13,
152.81521,clCreateBuffer|General,END,,,,,,,,,,,13,
152.84102,clCreateBuffer|General,START,,,,,,,,,,,14,
152.91659,clCreateBuffer|General,END,,,,,,,,,,,14,
152.94113,clCreateBuffer|General,START,,,,,,,,,,,15,
153.01541,clCreateBuffer|General,END,,,,,,,,,,,15,
153.04645,clEnqueueMapBuffer|187651243765152,START,,,,,,,,,,,16,
153.68963,clEnqueueMapBuffer|187651243765152,END,,,,,,,,,,,16,
153.72118,clEnqueueMapBuffer|187651243765152,START,,,,,,,,,,,17,
153.78058,clEnqueueMapBuffer|187651243765152,END,,,,,,,,,,,17,
4492.73275,clSetKernelArg|General,START,,,,,,,,,,,18,
